ONTOLOGY	TERM	N	DE	P.DE	FDR	SigGenesInSet
MF	magnesium ion binding	223	23	0.822858047090786	1	UBA2,ATP9A,CDK2,CIB1,ILVBL,ADPRHL1,COMT,TSSK2,ALPP,HACL1,MTG2,GLUL,TSSK4,MAP3K5,PCK1,MOV10L1,PPM1A,EXD2,ADCY10,ATP10A,S100P,STK11,TSSK6,DYRK2,RPS6KA5
BP	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	68	9	0.453398131612423	1	PNLDC1,CPEB3,EXOSC7,PABPC1,MLH1,POLR2G,CNOT6,ZFP36L2,ZFP36,TNKS1BP1,CNOT8
BP	nuclear-transcribed mRNA poly(A) tail shortening	34	8	0.0523436943936285	1	PNLDC1,CPEB3,PABPC1,MLH1,POLR2G,CNOT6,ZFP36,TNKS1BP1,CNOT8
BP	deadenylation-dependent decapping of nuclear-transcribed mRNA	10	0	1	1	
BP	nuclear-transcribed mRNA catabolic process, exonucleolytic	19	3	0.398562368380115	1	EXOSC7,POLR2G,CNOT6,CNOT8
MF	ferric-chelate reductase activity	3	1	0.326144721194873	1	STEAP4
BP	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	2	0	1.00000000001207	1	
MF	adenine nucleotide transmembrane transporter activity	17	1	0.889699790868835	1	SLC35B3
BP	spermine transport	2	0	0.999999999989019	1	
MF	endopolyphosphatase activity	5	0	1	1	
BP	retrograde transport, vesicle recycling within Golgi	9	0	1	1	COG5
BP	response to reactive oxygen species	201	33	0.0274308337290039	1	PPIF,TRAP1,STK25,FBLN5,TXNRD2,CRYAB,EGFR,ERCC6,FABP1,FOXO3,SIRT1,ANXA1,HBB,HYAL1,APOD,APOE,MAP3K5,MT3,NOS3,DDR2,PAX2,GLRX2,NME8,PDGFRB,SMPD3,AXL,MAPK9,BAD,PTPRN,PYCR1,BCL2,SLC8A1,STAT1,TPM1,UCP3,MAP1LC3A,CCS
BP	response to superoxide	27	6	0.0923437786674859	1	FBLN5,ERCC6,MT3,NOS3,GLRX2,UCP3,CCS
BP	response to singlet oxygen	1	0	0.999999999988108	1	
BP	response to oxygen radical	28	6	0.107414125233934	1	FBLN5,TXNRD2,ERCC6,MT3,NOS3,GLRX2,UCP3,CCS
CC	extrinsic component of vacuolar membrane	4	1	0.421565547167278	1	ULK1
CC	cyclin-dependent protein kinase holoenzyme complex	50	7	0.388526585704166	1	CDK2,CDKN2D,CCNY,CCND1,CDK5R1,CCND2,CCNE2
CC	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	3	1	0.298807742028884	1	CCNY
MF	nicotinamide-nucleotide adenylyltransferase activity	3	0	1	1	
CC	organellar ribosome	89	9	0.727438983601	1	MRPL28,MRPL55,MTG2,MRPL42,MRPL22,MRPS18C,MRPS18A,MRPL12,MRPS14,MRPL57,MRPL43
CC	organellar small ribosomal subunit	32	3	0.74552542629292	1	MRPL42,MRPS18C,MRPS18A,MRPS14
CC	organellar large ribosomal subunit	56	6	0.646935804304754	1	MRPL28,MRPL55,MRPL42,MRPL22,MRPS18A,MRPL12,MRPL57,MRPL43
BP	re-entry into mitotic cell cycle	3	1	0.276098411736936	1	CCND1
CC	storage vacuole	2	0	0.999999999982811	1	
CC	lytic vacuole	739	103	0.0507605158691285	1	ABCB6,SLC17A2,TCIRG1,IFI30,LAMTOR5,IFITM2,CHIT1,AP2S1,CLCN5,RNF19B,AP1S3,CRYAB,CRYBA1,NFAM1,CTSG,CTSK,DTX3L,AP2B1,DCN,ACE,AP1G1,AGA,C9orf72,TPCN2,ARHGAP45,MMD,SNAPIN,HEBP2,PLD3,LAMP5,MTOR,TMEM9,BRI3,GALNS,IL4I1,VPS33B,GC,GFAP,GNB1,GNS,GPLD1,SLC26A11,ANK3,LAMTOR2,GRN,CHMP4A,PYCARD,MYL11,RMC1,ANXA11,HSPG2,HYAL1,INSR,KCNQ1,KIF5B,LAMP1,MNDA,MYO7A,PAX2,ATRAID,CHMP5,PDGFRB,PIGR,PLA2G5,ATP6AP1,ACP5,PON2,GDAP2,LAMTOR1,WDR45B,LGMN,PSEN1,PSEN2,GPR137,SPHK2,SPPL2B,EPG5,DNASE2B,RRAGD,PGAP6,GNB4,SORT1,SFTPB,SGSH,VPS16,SLC12A4,SLC17A1,SNX1,SNX2,BPI,C3,UBA1,SLC30A2,SLC30A3,SLC30A4,PTGES2,CUBN,NPRL3,CAPN1,HYAL3,STARD3NL,EVA1A,MAP1LC3A,GNPTG,KLHL22,ZNRF1,CD164,SQSTM1,CPNE3,HPS4,CD1B,CD1E,SYNGR1,ACP4,TMEM59,RUBCN,LRBA
MF	template for synthesis of G-rich strand of telomere DNA activity	1	0	1.00000000000542	1	
CC	telomerase catalytic core complex	2	0	0.999999999976291	1	
MF	3-hydroxyanthranilate 3,4-dioxygenase activity	1	0	1.0000000000391	1	
BP	protein deneddylation	11	0	1	1	
MF	RNA cap binding	18	1	0.908291960102501	1	EIF4G3
MF	RNA 7-methylguanosine cap binding	12	0	1	1	
CC	transcription export complex	10	0	1	1	
CC	THO complex	6	0	1	1	
BP	mRNA branch site recognition	1	0	0.999999999988113	1	
BP	generation of catalytic spliceosome for first transesterification step	2	0	0.999999999966693	1	
BP	generation of catalytic spliceosome for second transesterification step	2	0	0.999999999977939	1	
BP	formation of quadruple SL/U4/U5/U6 snRNP	3	0	1	1	
BP	cis assembly of pre-catalytic spliceosome	2	1	0.233355341991308	1	SNRNP200
BP	mRNA trans splicing, via spliceosome	3	0	1	1	
BP	RNA splicing, via transesterification reactions	309	25	0.985429931182855	1	MBNL2,DDX39A,RBM14,KHDRBS1,SNRNP35,U2AF2,RBMXL3,CWF19L2,U2AF1L4,SNRNP200,PRPF6,PRPF40B,PABPC1,LSM3,PRPF19,TRA2A,LSM7,PPIL3,TXNL4B,DNAJC17,SMU1,MBNL3,PCBP4,PTBP1,SNRPA,SNRPN,RNF113A,ESS2,FAM172A,WDR83,DHX38
BP	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	305	25	0.98215204673244	1	MBNL2,DDX39A,RBM14,KHDRBS1,SNRNP35,U2AF2,RBMXL3,CWF19L2,U2AF1L4,SNRNP200,PRPF6,PRPF40B,PABPC1,LSM3,PRPF19,TRA2A,LSM7,PPIL3,TXNL4B,DNAJC17,SMU1,MBNL3,PCBP4,PTBP1,SNRPA,SNRPN,RNF113A,ESS2,FAM172A,WDR83,DHX38
BP	RNA exon ligation	1	1	0.120100439255649	1	RTCB
BP	tRNA-type intron splice site recognition and cleavage	3	0	1	1	
BP	alternative mRNA splicing, via spliceosome	81	6	0.930930460416344	1	MBNL2,KHDRBS1,SMU1,MBNL3,PTBP1,FAM172A
BP	regulation of alternative mRNA splicing, via spliceosome	62	6	0.77727019534235	1	MBNL2,KHDRBS1,SMU1,MBNL3,PTBP1,FAM172A
MF	second spliceosomal transesterification activity	1	0	1.00000000002338	1	
BP	spliceosomal snRNP assembly	43	1	0.994785776888717	1	PRPF6,PRPF19
BP	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1	1	0.12660737653523	1	SNRNP200
BP	mRNA 3'-splice site recognition	6	0	1	1	
BP	spliceosomal complex disassembly	3	1	0.32595164342986	1	DNAJC17
BP	spliceosomal conformational changes to generate catalytic conformation	5	1	0.479140544654087	1	SNRNP200
BP	RNA splicing, via endonucleolytic cleavage and ligation	14	1	0.834960814750162	1	RTCB
BP	mRNA 5'-splice site recognition	12	0	1	1	
BP	mRNA splicing, via spliceosome	305	25	0.98215204673244	1	MBNL2,DDX39A,RBM14,KHDRBS1,SNRNP35,U2AF2,RBMXL3,CWF19L2,U2AF1L4,SNRNP200,PRPF6,PRPF40B,PABPC1,LSM3,PRPF19,TRA2A,LSM7,PPIL3,TXNL4B,DNAJC17,SMU1,MBNL3,PCBP4,PTBP1,SNRPA,SNRPN,RNF113A,ESS2,FAM172A,WDR83,DHX38
MF	four-way junction DNA binding	17	2	0.636439193119121	1	MEN1,FANCM,XRCC2
MF	Y-form DNA binding	5	0	1	1	MEN1
MF	heteroduplex DNA loop binding	1	0	0.999999999980618	1	XPC
MF	bubble DNA binding	8	0	1	1	XPC
MF	double-strand/single-strand DNA junction binding	1	0	0.999999999980957	1	
CC	phagophore assembly site	37	5	0.476014477912306	1	WDR45B,ATG9A,ULK1,SQSTM1,ULK2,ATG13
CC	EKC/KEOPS complex	5	0	1	1	
BP	regulation of transcription by galactose	1	1	0.12413607774327	1	NCOA1
BP	positive regulation of transcription by galactose	1	1	0.12413607774327	1	NCOA1
BP	protein peptidyl-prolyl isomerization	28	2	0.815579087434997	1	PPIF,PPIL3,PPIC
BP	regulation of histone H3-K36 methylation	7	1	0.606804283820235	1	IWS1
BP	negative regulation of histone H3-K36 methylation	1	0	0.999999999974518	1	
BP	positive regulation of histone H3-K36 methylation	4	0	1	1	
CC	HIR complex	1	0	1.00000000000217	1	
CC	autophagosome membrane	51	4	0.87535541468326	1	CHMP4A,LAMP1,CHMP5,MAP1LC3B,ULK1,MAP1LC3A
BP	autophagy of mitochondrion	93	13	0.333889809688109	1	HUWE1,PHB2,CTSK,ARFIP2,FBXL4,PRKN,WDR45B,SREBF1,ATG9A,MUL1,MAP1LC3B,ULK1,MAP1LC3A,SQSTM1,ULK2,ATG13,LRBA
BP	mitophagy	36	5	0.446584000069321	1	HUWE1,PHB2,ARFIP2,PRKN,MAP1LC3B,SQSTM1,ATG13,LRBA
BP	pexophagy	2	0	0.999999999986582	1	
CC	DNA-directed RNA polymerase complex	105	10	0.798525667207821	1	RTF1,KAT2A,TAF5L,GTF2F1,GTF2F2,POLR3K,POLR2A,POLR2F,POLR2G,POLR2L,TAF6,TAF11,RECQL5
BP	carbon catabolite regulation of transcription from RNA polymerase II promoter	4	1	0.400836617372014	1	NCOA1
BP	regulation of transcription from RNA polymerase II promoter by glucose	3	0	1	1	
BP	regulation of transcription from RNA polymerase II promoter by galactose	1	1	0.12413607774327	1	NCOA1
BP	positive regulation of transcription from RNA polymerase II promoter by glucose	3	0	1	1	
BP	positive regulation of transcription from RNA polymerase II promoter by galactose	1	1	0.12413607774327	1	NCOA1
BP	carbon catabolite activation of transcription from RNA polymerase II promoter	4	1	0.400836617372014	1	NCOA1
CC	core TFIIH complex portion of holo TFIIH complex	2	0	1.00000000000415	1	
CC	transcription factor TFIIH core complex	11	0	1	1	
CC	MIS12/MIND type complex	4	0	1	1	
CC	THO complex part of transcription export complex	6	0	1	1	
BP	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10	2	0.347940232304433	1	RRS1,RPS21
BP	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	0	0.999999999992721	1	NOL9
BP	rRNA 2'-O-methylation	4	0	1	1	FTSJ3
BP	enzyme-directed rRNA 2'-O-methylation	1	0	0.999999999985418	1	FTSJ3
BP	snoRNA guided rRNA pseudouridine synthesis	3	0	1	1	
BP	enzyme-directed rRNA pseudouridine synthesis	6	1	0.529608815498366	1	TSR3
BP	exonucleolytic trimming involved in rRNA processing	9	2	0.304188085914066	1	ERI2,EXOSC7,EXOSC10
BP	maturation of 5.8S rRNA	36	7	0.14155452736032	1	ERI2,FTSJ3,EXOSC7,RRS1,EIF6,EXOSC10,PRKDC,RPS21,NOL9
BP	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	1	0.121523174245805	1	RPS21
BP	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	38	4	0.690369431428479	1	RRS1,RPS14,RPS21,BYSL,UTP4,SLX9
BP	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	15	2	0.555999945842	1	FTSJ3,NOL9,RPF2
BP	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	25	5	0.18295014496268	1	ERI2,FTSJ3,EXOSC7,RRS1,EXOSC10,RPS21,NOL9
BP	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	2	0.304188085914066	1	ERI2,EXOSC7,EXOSC10
BP	cleavage involved in rRNA processing	28	5	0.246831601288904	1	ERI2,EXOSC7,RRS1,EXOSC10,RPS21,NOL9
BP	maturation of LSU-rRNA	28	5	0.233929160740144	1	FTSJ3,EIF6,RPL10A,NOP2,NOL9,RPF2
BP	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5	0	1	1	
BP	endonucleolytic cleavage involved in rRNA processing	16	2	0.594114833217122	1	RRS1,RPS21,NOL9
BP	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	16	2	0.594114833217122	1	RRS1,RPS21,NOL9
BP	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	0	1	1	
BP	maturation of 5S rRNA	1	0	0.999999999993591	1	
BP	small nucleolar ribonucleoprotein complex assembly	12	0	1	1	
BP	box C/D snoRNP assembly	10	0	1	1	
BP	box H/ACA snoRNP assembly	2	0	0.99999999998776	1	
BP	box C/D RNA 3'-end processing	3	0	1	1	
BP	box H/ACA RNA 3'-end processing	2	0	0.999999999997249	1	
MF	DNA template activity	1	0	1.00000000000542	1	
CC	proteasome complex	59	7	0.585412783540791	1	PSME3,ADRM1,UBR1,PSMA7,PSMC5,PSMD2,PSME1,ZFAND2A
CC	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	7	1	0.570976876166581	1	PIGH
BP	lncRNA-mediated gene silencing	2	0	1.00000000000046	1	
MF	3-sulfino-L-alanine: proton, glutamate antiporter activity	2	0	1.00000000000528	1	
MF	aspartate:glutamate, proton antiporter activity	2	0	1.00000000000528	1	
BP	embryonic axis specification	44	2	0.971667757565063	1	C2CD3,TDGF1,WT1
MF	mismatch base pair DNA N-glycosylase activity	4	0	1	1	MBD4
MF	purine-specific mismatch base pair DNA N-glycosylase activity	2	0	0.999999999988842	1	
MF	oxidized base lesion DNA N-glycosylase activity	4	1	0.402064293920977	1	OGG1
MF	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	2	0	0.999999999971272	1	
BP	meiotic DNA double-strand break processing	4	0	1	1	
BP	meiotic DNA recombinase assembly	1	0	1.00000000001103	1	
BP	meiotic strand invasion	1	0	0.999999999985086	1	
BP	meiotic joint molecule formation	1	0	0.999999999985086	1	
BP	meiotic mismatch repair	2	0	1.00000000000743	1	
BP	meiotic DNA repair synthesis	3	0	1	1	
BP	resolution of meiotic recombination intermediates	17	1	0.884296036551152	1	MLH1,FANCM
BP	nucleotide-excision repair, DNA damage recognition	1	0	1.00000000002697	1	
BP	nucleotide-excision repair, DNA duplex unwinding	2	0	0.999999999964225	1	
BP	nucleotide-excision repair, DNA damage removal	1	0	1.00000000000506	1	
BP	pyrimidine dimer repair by nucleotide-excision repair	4	1	0.406282672835294	1	SIRT1,XPC
MF	(R,R)-butanediol dehydrogenase activity	1	0	0.999999999987914	1	
BP	telomere maintenance via recombination	15	0	1	1	
BP	telomere maintenance	153	12	0.962810650554997	1	MCRS1,NEK7,NBN,ATM,SMARCAL1,EXOSC10,NSMCE4A,PRKCQ,PRKDC,ACD,USP7,NABP2,TNKS1BP1,CCNE2
BP	double-strand break repair via homologous recombination	168	19	0.617937252212991	1	RAD51AP1,MORF4L1,HELQ,ERCC6,POGZ,RAD54B,SETD2,POLN,MCM4,NBN,ATM,NSMCE4A,EXD2,PPP4C,UBQLN4,FANCM,ACTB,MAGEF1,BRCA1,VPS72,XRCC2,NABP2,CDC45,RECQL5
BP	recombinational repair	172	20	0.568410344448834	1	RAD51AP1,MORF4L1,HELQ,ERCC6,POGZ,RAD54B,SETD2,POLN,MCM4,NBN,ATM,NSMCE4A,EXD2,PPP4C,UBQLN4,FANCM,ACTB,MAGEF1,BRCA1,VPS72,XRCC2,HROB,NABP2,CDC45,RECQL5
BP	double-strand break repair via break-induced replication	12	1	0.788804125550357	1	MCM4,CDC45
BP	DNA double-strand break processing	22	4	0.230728125860376	1	HELQ,NBN,EXD2,SETMAR,UBE2V2
BP	DNA recombinase assembly	4	0	1	1	
BP	DNA synthesis involved in DNA repair	40	4	0.729575307219869	1	CDKN2D,SIRT1,POLN,DTL,POLD4,HROB
BP	strand displacement	1	0	0.999999999972683	1	
BP	DNA catabolic process, endonucleolytic	26	2	0.821038163355494	1	DNASE1L2,DNASE2B,SETMAR
BP	DNA catabolic process, exonucleolytic	5	0	1	1	
BP	karyogamy	1	0	1.00000000001035	1	
BP	syncytium formation by plasma membrane fusion	62	6	0.761432076093352	1	DOCK1,MYOG,PLEKHO1,DCSTAMP,GCM1,TNFSF14
MF	phosphatidyl-N-methylethanolamine N-methyltransferase activity	1	0	1.00000000001943	1	
MF	adenyl-nucleotide exchange factor activity	11	2	0.39560435542218	1	BAG1,SIL1,GRPEL1
CC	chromosome, centromeric region	246	23	0.922172930481627	1	CENPA,KIF2C,CDCA5,SGO1,SKA3,CLASP2,PDS5A,SS18L1,CHAMP1,CHMP4A,H3-3A,SKA2,CENPP,SYCP3,CHMP5,PPP1CC,PSEN1,PSEN2,ACTB,SMARCD2,ZNF207,NUP37,CENPU,SMC1A,NUF2,H4C4,H4C2,NCAPD2
CC	kinetochore	162	17	0.76334393589343	1	CENPA,KIF2C,SGO1,SKA3,CLASP2,SS18L1,CHAMP1,CHMP4A,H3-3A,SKA2,CHMP5,PPP1CC,PSEN1,PSEN2,ACTB,SMARCD2,ZNF207,NUP37,CENPU,SMC1A,NUF2
CC	condensed chromosome, centromeric region	172	18	0.771407637556373	1	CENPA,KIF2C,SGO1,SKA3,CLASP2,SS18L1,CHAMP1,CHMP4A,H3-3A,SKA2,CHMP5,PPP1CC,PSEN1,PSEN2,ACTB,SMARCD2,ZNF207,NUP37,CENPU,SMC1A,NUF2,NCAPD2
CC	chromosome, telomeric region	166	16	0.841041380645552	1	CDK2,RAD51AP1,H2AC1,H2BC1,TERB1,H3-3A,MCM4,MEN1,NBN,ATM,NSMCE4A,PPP1CA,PPP1CC,PRKDC,RBBP4,ACD,NABP2,H3-4,H4C4,H4C2
CC	telomere cap complex	12	0	1	1	ACD
CC	nuclear telomere cap complex	12	0	1	1	ACD
CC	chromatin	1278	150	0.570152873205709	1	NR1H3,TRIM28,TSHZ1,CDKN2A,MCRS1,HOXB13,CEBPE,CENPA,RAD51AP1,LBX1,KLF1,PLK2,SRCAP,MORF4L1,CHD2,KLF12,POU6F2,CDCA5,RBPJL,FOXP4,KLHDC3,NACC2,GATA5,ZBTB46,NFXL1,NKX6-3,BHLHA15,DLX1,AHR,EN1,ERCC6,ESRRB,ESRRG,H2AC1,ATF5,FOXI1,FOXE3,FOXJ1,ZHX3,FOXS1,RRP1B,FOXO3,CAMTA2,POGZ,PDS5A,UBR2,SIRT1,CBX7,BICRAL,KAT6B,NR5A2,H2BC1,L3MBTL1,SS18L1,GATA1,ANKRD2,KAT2A,ZSCAN1,UHRF1,BICRA,TLX3,H1-5,H1-6,H2BC5,H3-3A,HLCS,ONECUT1,HOXA3,HOXB1,HOXB3,HOXB4,HOXB7,HSF2,ING2,IRF4,BMAL1,SMAD1,SMAD9,BORCS8-MEF2B,MEN1,MYOG,NEDD4,NFATC4,NFE2,OTX1,PAX2,PBX1,FOXP3,ARID4B,BCL11A,MBD3,EXOSC10,POU1F1,BNC2,PPP4C,HR,FOXJ2,PRM1,ASCL3,SPHK2,TSHZ3,FANCM,CREBZF,RBBP4,RELB,ACTB,RORA,RORB,RORC,DMRTC2,DMRTB1,SET,CSRNP1,SMARCD2,SOX10,SOX15,SP2,SREBF1,SRF,SSRP1,STAT1,TAL2,TBX1,HNF1A,ZEB1,TCF15,VPS72,MLX,TEAD1,THRB,KLF10,TNP1,TNP2,UBA1,DEK,LHX3,H3-4,H3C6,H3C12,H3C2,H4C4,H4C2,NR0B2,ZGPAT,GLYR1,RAX2,GCM1,H2BC12,TNKS1BP1,BHLHE40,RUNX3,NCOA1,NR1I2,FOXH1,CCND2,ASH2L,TBX19,CLOCK,NCOR2,ST18
CC	nucleosome	116	24	0.000831348950592552	0.381472779468898	CENPA,SRCAP,MORF4L1,H2AC1,KAT6B,H2BC1,H1-5,H1-6,H2BC5,H3-3A,IRF4,PRM1,SPHK2,ACTB,VPS72,TNP1,TNP2,H3-4,H3C6,H3C12,H3C2,H4C4,H4C2,GLYR1,H2BC12
CC	euchromatin	59	6	0.710540948460804	1	TRIM28,RRP1B,SIRT1,ANKRD2,UHRF1,EXOSC10,ASH2L
CC	heterochromatin	78	9	0.629024135833351	1	TRIM28,CDKN2A,CENPA,RRP1B,SIRT1,UHRF1,H1-5,MBD3,UBA1,TNKS1BP1
CC	condensed chromosome	271	29	0.777012152632351	1	CDK2,SYCP2,CENPA,KIF2C,SGO1,ESRRB,SKA3,CLASP2,RRS1,NCAPH,L3MBTL1,SS18L1,CHAMP1,CHMP4A,NCAPH2,H3-3A,SKA2,MLH1,SYCP3,CHMP5,NSMCE4A,PPP1CC,PSEN1,PSEN2,ACTB,SETMAR,SMARCD2,BRCA1,ZNF207,NUP37,CENPU,SMC1A,NUF2,NCAPD2
CC	condensed nuclear chromosome	79	6	0.926249764244427	1	SYCP2,RRS1,NCAPH,NCAPH2,MLH1,SYCP3,BRCA1,SMC1A
CC	synaptonemal complex	40	3	0.8773171078308	1	SYCP2,MLH1,SYCP3,BRCA1
CC	condensin complex	8	2	0.254688961562671	1	NCAPH,NCAPH2,NCAPD2
CC	lateral element	13	2	0.46456984486758	1	SYCP2,SYCP3,BRCA1
CC	central element	8	0	1	1	
CC	transverse filament	1	0	1.00000000000514	1	
CC	sex chromosome	31	3	0.743432790083935	1	CDK2,H3-3A,DMRTC2,BRCA1
CC	X chromosome	10	2	0.35655219422394	1	CDK2,H3-3A
CC	Y chromosome	2	1	0.2301248557251	1	CDK2
CC	origin recognition complex	9	1	0.688130516155872	1	REPIN1
MF	diacylglycerol diphosphate phosphatase activity	3	0	1	1	
CC	GINS complex	4	0	1	1	
CC	Swr1 complex	14	1	0.841708794019215	1	SRCAP
CC	ESCRT I complex	11	1	0.738931507800098	1	VPS37B
CC	ESCRT II complex	3	0	1	1	
CC	ESCRT III complex	10	0	1	1	CHMP4A
CC	nuclear MIS12/MIND complex	3	0	1	1	
BP	sister chromatid segregation	237	25	0.777279159367836	1	PTTG2,KIF2C,CDCA5,PHB2,PHF13,SGO1,POGZ,RRS1,PDS5A,NCAPH,NUP62,CHAMP1,CHMP4A,NCAPH2,ANAPC2,ANAPC4,KMT5A,ATM,CHMP5,CHTF8,CHFR,PSMG2,ACTB,SMARCD2,ZNF207,SMC1A,NAA10,NUF2,PSRC1,KLHL22,ESPL1,NCAPD2
BP	regulation of glutamine family amino acid metabolic process	8	1	0.626665406179387	1	SLC7A7
BP	regulation of arginine metabolic process	4	1	0.373743311194968	1	SLC7A7
MF	inositol hexakisphosphate binding	3	0	1	1	
MF	inositol-1,4,5-trisphosphate 6-kinase activity	1	0	1.00000000000939	1	
MF	inositol tetrakisphosphate 3-kinase activity	1	0	1.00000000000939	1	
MF	inositol tetrakisphosphate 6-kinase activity	2	0	1.00000000005316	1	
MF	inositol-1,3,4,5,6-pentakisphosphate kinase activity	5	0	1	1	
MF	inositol hexakisphosphate kinase activity	8	0	1	1	
MF	inositol heptakisphosphate kinase activity	5	0	1	1	
MF	inositol hexakisphosphate 6-kinase activity	1	0	1.00000000000863	1	
MF	inositol hexakisphosphate 5-kinase activity	5	0	1	1	
CC	ER ubiquitin ligase complex	10	0	1	1	AUP1
CC	Hrd1p ubiquitin ligase complex	9	0	1	1	AUP1
CC	Hrd1p ubiquitin ligase ERAD-L complex	7	0	1	1	AUP1
MF	mRNA regulatory element binding translation repressor activity	15	1	0.86231000411947	1	CPEB3,SHMT1
BP	cell morphogenesis	1017	136	0.156194829205607	1	CDH4,CDH18,ADARB1,BAIAP2,STK25,SEMA6B,CIB1,OLFM4,ADCY1,C12orf57,ARHGEF25,COL15A1,ADORA2A,CSF1R,DAB2IP,CAMSAP1,SYNE3,DLG4,DOCK1,MEGF8,EGFR,C9orf72,EPB42,EPS8,ERBB2,NYAP1,FGB,FGD1,HECW1,RHOBTB2,DNMBP,OBSL1,CRB1,GRIP1,NGEF,SULT4A1,ATRNL1,SS18L1,GATA1,TIAM2,GDI1,CYFIP2,CNTN6,GP1BA,CDH20,ANK3,ARHGAP35,PARVB,ANAPC2,PACSIN1,ANXA1,APOA1,OSTN,APOE,ITGAV,ITGB6,KIF5B,LAMB3,STMN1,RHOH,TACSTD2,MAG,MATN1,MT3,MYH10,MYO7A,MYO9B,NDN,NEDD4,NFATC4,NGF,NGFR,NODAL,NTRK1,PRKN,PAX2,PLEKHO1,BCL11A,PLS1,PLXNB3,NLGN3,ABITRAM,PHIP,AXL,PRKCQ,PRKDC,PSEN1,AKIP1,PAK6,PARP6,RAB25,CORO1B,ATP10A,IGSF9,PREX1,SHROOM3,NECTIN1,RAC3,BCL2,ACTB,CCL2,CCL7,CDH24,SNX1,SNX2,SPTA1,SRF,STK11,TBCD,TESK1,TPM1,TYRO3,UGT8,VIL1,CFAP410,SEMA3B,MUL1,FZD3,FBXO31,LHX3,SPRY4,USP9X,CAPZB,FERMT3,ULK1,MYPN,DOCK7,SSNA1,IQGAP1,CDK5R1,CCKAR,KALRN,PLXNA4,ZMYM4,RPS6KA5,NUMBL,ITGB1BP1,TAOK2,CPNE6,CD44,FEZ1,ULK2,RHOBTB1,PLPPR4,SLC23A2
BP	cell morphogenesis involved in differentiation	724	88	0.581744048835656	1	CDH4,ADARB1,BAIAP2,STK25,SEMA6B,CIB1,OLFM4,ADCY1,C12orf57,ARHGEF25,COL15A1,CSF1R,DLG4,DOCK1,MEGF8,C9orf72,ERBB2,FGB,HECW1,OBSL1,NGEF,SULT4A1,ATRNL1,SS18L1,GATA1,TIAM2,GDI1,CNTN6,ANK3,ARHGAP35,PARVB,ANAPC2,APOA1,APOE,ITGAV,KIF5B,LAMB3,STMN1,RHOH,TACSTD2,MAG,MATN1,MT3,MYO7A,NDN,NEDD4,NFATC4,NGF,NGFR,NODAL,NTRK1,PAX2,PLS1,PLXNB3,NLGN3,ABITRAM,AXL,PRKCQ,PRKDC,PSEN1,AKIP1,PARP6,RAB25,IGSF9,PREX1,NECTIN1,RAC3,BCL2,ACTB,SRF,STK11,TBCD,TESK1,TYRO3,SEMA3B,FZD3,FBXO31,LHX3,SPRY4,USP9X,FERMT3,ULK1,MYPN,DOCK7,SSNA1,CDK5R1,CCKAR,KALRN,PLXNA4,RPS6KA5,NUMBL,ITGB1BP1,TAOK2,FEZ1,ULK2,PLPPR4
BP	cytokinesis	186	19	0.789379484790176	1	CENPA,PLK2,NUP62,ANK3,SETD2,CHMP4A,ANXA11,STMN1,MYH10,CHMP5,SEPTIN5,EXOC6,KLHL9,BCL2L1,RTKN,SPTBN1,CALM2,TAS1R2,ZFYVE19,KIF3B,ESPL1,WASHC5
BP	assembly of actomyosin apparatus involved in cytokinesis	6	1	0.54666279719108	1	RTKN
BP	actomyosin contractile ring assembly	6	1	0.54666279719108	1	RTKN
BP	actomyosin contractile ring contraction	1	0	0.999999999986425	1	
BP	division septum assembly	1	0	0.999999999993557	1	
BP	septin ring assembly	1	0	1.00000000003901	1	
